Company_Name,Overall_Rating,Ease_of_Use_Rating,Customer_Service_Rating,Features_Rating,Value_for_Money_Rating,Overall_Review,Pros_Review,Cons_Review,alternative,reasons_choosing,Date
Eventbrite,5-May,5-Apr,5-Apr,5-May,5-May,"Our goal is to encourage our Facebook audiences to attend more virtual events and provide them with the exact information and details they need, all housed in one concise place and Eventbrite has been the perfect tool for us. The analytics and reporting are very robust, especially for a free plan.","The setup and ease of use for a first time Eventbrite user/manager was incredibly easy and seamless. The feature that is most useful to us is the Facebook event integration - and the best part - it's free. This way, our social media audiences can register for tickets directly through the Facebook event published on Facebook. It's such a powerful feature and so incredibly easy to setup.","I wish there was an abilitty to make updates to the address after an event has already been published. With COVID-19, we had to shift from an in-person event to make it a virtual event and because we had to change the address, Eventbrite woudn't allow it. Suggestion - if an address needs to be changed, Eventbrite could automatically send an email to the list of attendees or a calendar notification of the change.

The Mailchimp feature is extremely limited and I have trouble understanding what exactly the purpose of it is. I have not doubt that Eventbrite will enhance it in the future with incorporate more robust functions because Eventbrite is really great with continually improving their tools.",Squarespace,"The Facebook integration was seamless and is a very powerful feature, that's also free.",19-Jul-20
Eventbrite,5-May,5-May,5-May,5-May,5-May,I'm so glad to be able to continue using Eventbrite. The value for the product is really exceptional. I'd especially recommend to nonprofit users who produce live event programming.,"There's something about the Eventbrite platform that feels particularly inclusive. I really like how customizable it is, and it's easy to train on. I'm also a big fan of their reporting and analytics.",I have nothing bad to say about this particular software. I've never experienced an issue while using it. I'd say it would be great if Eventbrite had more software integrations.,HappyFox Help Desk,"The design of the platform looks better, and the functionality is far more robust.",24-Sep-20
Eventbrite,5-May,5-May,,5-May,,"I have really enjoyed using this software to promote and find out about events. It's very easy to use, it takes care of ticketing and is very easy to promote events.","This tool is awesome for promoting your events. They are very focused and do one thing better than anyone else. It's easy to use, easy to share, easy to on-board. I love this software and highly recommend it.","I don't have any complaints about this product. I have not used customer service so I'm not sure what that is like, but I enjoy this software.",,,24-Nov-20
Eventbrite,5-Mar,5-May,5-Jan,5-Feb,5-Jan,Extremely painful.,Eventbrite is easy to use. It's designed well.,"Customer service really stinks at Eventbrite. They're just looking to get paid. Their fees are high, sometimes 15-20% depending upon your ticket price. They had agreed on our festival to payout daily leading up to the event but changed their mind when COVID hit (to hoard cash and save themselves while screwing their event organizers.) Now they are expecting people to pull off multi-million dollar festivals without collecting any of their ticketing money up front. The worst part is they froze our payouts without telling us, until one day we noticed the lack of deposits and logged into Eventbrite to find it. Surprise surprise! They have refused to renegotiate the contract but also refuse to release funds so we can pull off our event. Eventbrite is going to bring the event industry crashing down due to the way they handled COVID.",AudienceView Select,A better negotiated deal originally - but they did not stick by their deal as they stopped paying out before the event once the pandemic hit causing us major cashflow issues.  Lesson we learned: you can't trust what Eventbrite tells you.,13-Sep-20
Eventbrite,5-Apr,5-May,5-Mar,5-Mar,5-Apr,The actual event turned out to be a big success.  Eventbrite played a key role in that success.  I would definitely consider Eventbrite for future events.,"Eventbrite is easy to understand and use.  The feature-set is not too broad so it's easy to quickly understand everything they offer.  I was able to quickly wrap my mind around its scope and deploy an event.  I appreciated how easy it was to setup a website for reservations and payment.  Although I did not have alot of design options for the payment and reservation pages, the pages were streamlined and worked well.  I was able to find good third-party support for lanyards and printed name badges.  Being able to sell tickets at the entrance was a nice feature as well.  

Pricing felt right.  I received good value for the money I spent.",I did not have alot of design flexibility for the payment and reservation pages.  I pretty much had to stick with their default template that makes all Eventbrite sites look the same.  The event management UI was slow and awkward to use.  I did have a couple of periods of site outage that caused me some pain.,Cvent Event Management,"Cvent looked to be a superior solution, but it was outrageously expensive.  It was way beyond my budget.  Eventbrite was the right price.",29-Sep-20
Eventbrite,5-May,5-Apr,5-May,5-Apr,5-Apr,This is a great program for reserving spaces at events (we have only had free events that this was necessary for so I can't speak to events that you would like your attendees to pay for.) that have a finite amount of tickets.,"I love how organized it keeps our organization when we have free event that have limited seating. We are able to track who is signed up, contact everyone with important event information, check people in and see where they signed up from(website, Facebook, etc.) if you are charging for tickets, there is a small fee but because I have used it for free events, I would be willing to pay for that if we were to charge for an event. It is really well thought out overall.","As a designer, I would like a few more options to be able to customize the event page. You are only able to customize a description and a specific size image.  I struggled though to even find this con because it really is a great software.",Wufoo,"It gave us the ability to let people reserve more than on ticket and make sure we didn't overbook our event. We usually use Wufoo for most of our events because of its ability to add a lot of things (and we still love Wufoo, just not for this) we need it to but we couldn't figure out how to not overbook and also allow a family to reserve multiple tickets for all of its members.",26-May-20
Eventbrite,5-May,5-May,5-May,5-May,5-May,ten thumbs up,this software has made the job of creating our parish event family nights the easiest it could be  since we've hit these months of darkeness and mystery of social distancing and masking and not being reassured if our volunteer jobs resume at the church month to month to help father with the technology upgrades yet to come,it has taken some integration to learn at first coming out as a highschool graduate in 2009 coming from a small city highschool and being asked to take on a huge roll when i moved to the wausau deanery churches when my teachers told them how computer smart i was and that i could handle any program with ease i thought looking back teaching software ten years later i sure would not have expected this at my young age and now teaching k-4 the same areas except on a tablet for each one of them during camp since we can't use paper during the pandemic,Notepad++,its simplicity and overall expierience since using it in highschool.,20-Oct-20
Eventbrite,5-May,5-Apr,5-Apr,5-May,5-May,"I have used Eventbrite to manage RSVPs for very small, free events up to multi-thousand dollar galas. It makes the processes of ticketing, collecting information, and checking in guests at an event incredibly easy.","Like the headline says, the best part of Eventbrite is that you can go from sign-in to selling tickets in minutes. The workflow is solid and easy to use for a simple event, but allows a ton of customization for advanced users.","As amazing as the feature set is, it takes quite a long time for pages to load on the backend and I hoping that gets improved at some point. The multi-user system also needs a bit more work--it looks like it hasn't been updated since I started using the software back in 2012.",Wufoo and SurveyMonkey,Eventbrite was the only tool of the three that was entirely focused on event registration.,20-Aug-19
Eventbrite,5-May,5-May,,5-May,,,"The platform eliminates the need for face to face ticket sales/ purchases. It is quite secure and ensures that your information is kept safely. I would definitely recommend it to anyone who's planning to execute an event, as well as, purchase tickets. Tickets are easily add to mobile wallets from this app.",The dividend per ticket sales might be relativity high depending on cost of tickets.,Mobilize,The setup seem to be easier than other platforms.,29-Sep-20
Eventbrite,5-Apr,5-Apr,5-Mar,5-Apr,5-Apr,"Overall I think Eventbrite is a fantastic event management software that is inclusive of every type of event, and the options available to you without having to part with any money are very good.","Using Eventbrite to manage your events is quick and easy. My favourite feature is the customisable form, and the ability to replicate events. You have a number of options for payment and tracking.","You are limited when trying to customise your event and brand it as your own. 

When using the professional package you only get support with paid events.",,,22-Sep-20
